stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1098,1098,"122 Street & Jasper Avenue",,  53.541367,-113.533017,,,0,
1104,1104,"Kingsway RAH Transit Centre",,  53.558774,-113.501397,,,0,
1105,1105,"Kingsway RAH Transit Centre",,  53.558649,-113.501393,,,0,
1106,1106,"Kingsway RAH Transit Centre",,  53.558207,-113.501534,,,0,
1107,1107,"Kingsway RAH Transit Centre",,  53.558486,-113.502003,,,0,
1108,1108,"Kingsway RAH Transit Centre",,  53.558640,-113.501815,,,0,
1109,1109,"Kingsway RAH Transit Centre",,  53.558451,-113.500947,,,0,
1110,1110,"Kingsway RAH Transit Centre",,  53.558685,-113.500982,,,0,
1111,1111,"Kingsway RAH Transit Centre",,  53.558553,-113.501604,,,0,
1112,1112,"Kingsway RAH Transit Centre",,  53.558534,-113.501242,,,0,
1113,1113,"Kingsway RAH Transit Centre",,  53.558762,-113.500315,,,0,
1114,1114,"Kingsway RAH Station",,  53.557660,-113.501107,,,0,
1115,1115,"Kingsway RAH Station",,  53.557735,-113.500958,,,0,
1116,1116,"NAIT Station",,  53.565885,-113.506111,,,0,
1117,1117,"MacEwan Station",,  53.547739,-113.498179,,,0,
1118,1118,"MacEwan Station",,  53.547684,-113.498180,,,0,
1120,1120,"99 Street & Jasper Avenue",,  53.541474,-113.487903,,,0,
1121,1121,"85 Street & 118 Avenue",,  53.570448,-113.471324,,,0,
1122,1122,"113 Street & 111 Avenue",,  53.558979,-113.516196,,,0,
1123,1123,"99 Street & 103A Avenue nearside",,  53.546164,-113.489899,,,0,
1124,1124,"62 Street & 118 Avenue",,  53.570311,-113.436022,,,0,
1125,1125,"65 Street & 121 Avenue",,  53.575153,-113.441707,,,0,
1126,1126,"97 Street & 120 Avenue",,  53.573919,-113.492069,,,0,
1127,1127,"123 Street & Jasper Avenue",,  53.541255,-113.533342,,,0,
1128,1128,"101 Street & 102 Avenue",,  53.543899,-113.493591,,,0,
1129,1129,"97 Street & 111 Avenue",,  53.558980,-113.491018,,,0,
1130,1130,"95 Street & 111 Avenue",,  53.559911,-113.487691,,,0,
11301,11301,"107 Street & 105 Avenue",,  53.547681,-113.504947,,,0,
11306,11306,"111 Street & 102 Avenue",,  53.543088,-113.512865,,,0,
11308,11308,"106 Street & 111 Avenue",,  53.560536,-113.503216,,,0,
11309,11309,"97 Street & 103A Avenue",,  53.546515,-113.488401,,,0,
1131,1131,"76 Street & 118 Avenue",,  53.570261,-113.458409,,,0,
11318,11318,"97 Street & 103A Avenue",,  53.546849,-113.486653,,,0,
11319,11319,"95 Street & 103A Avenue",,  53.547813,-113.480824,,,0,
1132,1132,"95 Street & 107 Avenue",,  53.553308,-113.483136,,,0,
11320,11320,"103 Street & 103 Avenue",,  53.544501,-113.496386,,,0,
11321,11321,"101 Street & 102A Avenue",,  53.544367,-113.491852,,,0,
11322,11322,"105 Street & 103 Avenue",,  53.544501,-113.500278,,,0,
11323,11323,"107 Street & 103 Avenue",,  53.544572,-113.504066,,,0,
11324,11324,"82 Street & 112 Avenue",,  53.561490,-113.467202,,,0,
11325,11325,"96 Street & 103A Avenue",,  53.547274,-113.484208,,,0,
11326,11326,"107 Street & 111 Avenue",,  53.558787,-113.504897,,,0,
1133,1133,"59 Street & 118 Avenue",,  53.570429,-113.432542,,,0,
11338,11338,"82 Street & 114 Avenue",,  53.564071,-113.467422,,,0,
1134,1134,"124 Street & 107 Avenue",,  53.550590,-113.536010,,,0,
1135,1135,"80 Street & 116 Avenue",,  53.567598,-113.463940,,,0,
1136,1136,"82 Street & 118 Avenue",,  53.570758,-113.467166,,,0,
11361,11361,"82 Street & 117 Avenue",,  53.569025,-113.467358,,,0,
1137,1137,"Fort Road & 122 Avenue",,  53.576410,-113.459577,,,0,
11372,11372,"97 Street & 103A Avenue",,  53.546699,-113.486811,,,0,
11373,11373,"95 Street & 103A Avenue",,  53.547672,-113.480964,,,0,
1138,1138,"95 Street & 117 Avenue",,  53.569175,-113.487099,,,0,
11382,11382,"106 Street & 103 Avenue",,  53.544633,-113.503582,,,0,
11387,11387,"96 Street & 103A Avenue",,  53.547355,-113.482881,,,0,
1139,1139,"86 Street & 122 Avenue",,  53.576797,-113.472981,,,0,
11399,11399,"82 Street & 115 Avenue",,  53.566045,-113.467251,,,0,
1140,1140,"50 Street & 114 Avenue",,  53.566738,-113.417967,,,0,
1141,1141,"117 Street & Jasper Avenue",,  53.540844,-113.522530,,,0,
1142,1142,"101 Street & MacDonald Drive nearside",,  53.539758,-113.493853,,,0,
1143,1143,"75 Street & Fort Road",,  53.578528,-113.457255,,,0,
1144,1144,"54 Street & 121 Avenue",,  53.575461,-113.424500,,,0,
11444,11444,"104 Street & 104 Avenue",,  53.546078,-113.498467,,,0,
1145,1145,"93 Street & 115 Avenue",,  53.565745,-113.483624,,,0,
1146,1146,"95 Street & 111 Avenue",,  53.560211,-113.485924,,,0,
1147,1147,"82 Street & 115 Avenue Loop",,  53.565980,-113.467058,,,0,
1148,1148,"80 Street & 118 Avenue",,  53.570069,-113.464149,,,0,
1149,1149,"61 Street & 118 Avenue",,  53.570433,-113.435650,,,0,
1150,1150,"95 Street & 114 Avenue",,  53.563847,-113.487282,,,0,
1151,1151,"50 Street & 115 Avenue",,  53.567923,-113.418310,,,0,
1152,1152,"106 Street & 114 Avenue",,  53.564441,-113.503530,,,0,
1153,1153,"106 Street & 97 Avenue",,  53.534316,-113.504226,,,0,
1154,1154,"74 Street & 112 Avenue",,  53.561982,-113.450625,,,0,
1156,1156,"32 Street & 118 Avenue",,  53.570255,-113.390874,,,0,
1157,1157,"66 Street & 118 Avenue",,  53.570425,-113.444014,,,0,
1158,1158,"105 Street & 122 Avenue",,  53.576683,-113.500380,,,0,
1159,1159,"Groat Road & 107 Avenue",,  53.550782,-113.548775,,,0,
1160,1160,"95 Street & 109 Avenue",,  53.556196,-113.484999,,,0,
1163,1163,"95 Street & 115 Avenue",,  53.565735,-113.486562,,,0,
1164,1164,"88 Street & 112 Avenue",,  53.561151,-113.477142,,,0,
1165,1165,"73 Street & 111 Avenue",,  53.561946,-113.448407,,,0,
1167,1167,"97 Street & 106 Avenue",,  53.550538,-113.488759,,,0,
1168,1168,"36 Street & 121 Avenue",,  53.575134,-113.397310,,,0,
1169,1169,"95 Street & 108A Avenue",,  53.555948,-113.484636,,,0,
1170,1170,"95 Street & 116 Avenue",,  53.567103,-113.487327,,,0,
1171,1171,"34 Street & 116A Avenue",,  53.568433,-113.393793,,,0,
1172,1172,"89 Street & 118 Avenue",,  53.570345,-113.477515,,,0,
1173,1173,"89 Street & Rowland Road",,  53.547906,-113.470473,,,0,
1174,1174,"43 Street & 118 Avenue",,  53.570435,-113.408170,,,0,
1175,1175,"38 Street & 118 Avenue",,  53.570304,-113.399229,,,0,
1176,1176,"34 Street & 114 Avenue",,  53.567146,-113.393638,,,0,
1177,1177,"50 Street & 123 Avenue",,  53.577977,-113.418479,,,0,
1178,1178,"90 Street & Jasper Avenue",,  53.551113,-113.473635,,,0,
1179,1179,"42 Street & 118 Avenue",,  53.570293,-113.405556,,,0,
1180,1180,"82 Street & 112 Avenue",,  53.560892,-113.467486,,,0,
1181,1181,"97 Street & 110 Avenue",,  53.557453,-113.491626,,,0,
1182,1182,"57 Street & 118 Avenue",,  53.570305,-113.428812,,,0,
1183,1183,"124 Street & 108 Avenue",,  53.552136,-113.536017,,,0,
1184,1184,"90 Street & Jasper Avenue",,  53.551334,-113.473186,,,0,
1185,1185,"69 Street & 118 Avenue",,  53.570451,-113.448497,,,0,
1186,1186,"42 Street & 121 Avenue",,  53.575037,-113.405639,,,0,
1188,1188,"95 Street & Jasper Avenue",,  53.544658,-113.478599,,,0,
1189,1189,"95 Street & 113 Avenue",,  53.562892,-113.487049,,,0,
1190,1190,"McDougall Hill & Grierson Hill",,  53.538545,-113.490588,,,0,
1191,1191,"111 Street & 111 Avenue",,  53.558986,-113.512451,,,0,
1192,1192,"40 Street & 121 Avenue",,  53.575045,-113.402536,,,0,
1193,1193,"97 Street & 107 Avenue",,  53.552349,-113.489516,,,0,
1194,1194,"82 Street & 122 Avenue",,  53.576775,-113.467934,,,0,
1195,1195,"66 Street & 120 Avenue",,  53.573816,-113.442885,,,0,
1196,1196,"97 Street & Jasper Avenue",,  53.542308,-113.484649,,,0,
1197,1197,"73 Street & 112 Avenue",,  53.562325,-113.449483,,,0,
1199,1199,"97 Street & Yellowhead Trail",,  53.581399,-113.492204,,,0,
1201,1201,"Coliseum Transit Centre",,  53.570794,-113.458977,,,0,
1202,1202,"Coliseum Transit Centre",,  53.570769,-113.459350,,,0,
1203,1203,"Coliseum Transit Centre",,  53.570743,-113.459651,,,0,
1204,1204,"Coliseum Transit Centre",,  53.570712,-113.459947,,,0,
1205,1205,"Coliseum Transit Centre",,  53.570693,-113.460200,,,0,
1206,1206,"Coliseum Transit Centre",,  53.570932,-113.460421,,,0,
1207,1207,"Coliseum Transit Centre",,  53.570966,-113.460096,,,0,
1208,1208,"Coliseum Transit Centre",,  53.570999,-113.459888,,,0,
1209,1209,"Coliseum Transit Centre",,  53.571024,-113.459515,,,0,
1210,1210,"Coliseum Transit Centre",,  53.571051,-113.459224,,,0,
1211,1211,"Coliseum Transit Centre",,  53.571155,-113.458545,,,0,
1213,1213,"Coliseum Transit Centre",,  53.570901,-113.460701,,,0,
1220,1220,"64 Street & 112 Avenue",,  53.565164,-113.436795,,,0,
1221,1221,"97 Street & 111 Avenue",,  53.558640,-113.492046,,,0,
1222,1222,"95 Street & Jasper Avenue",,  53.544942,-113.479564,,,0,
1223,1223,"106 Street & 117 Avenue",,  53.567449,-113.503102,,,0,
1224,1224,"83 Street & 111 Avenue",,  53.559601,-113.468406,,,0,
1225,1225,"55 Street & 118 Avenue",,  53.570301,-113.425788,,,0,
1226,1226,"106 Street & 113 Avenue",,  53.562229,-113.503530,,,0,
1227,1227,"106 Street & 117 Avenue",,  53.568069,-113.502751,,,0,
1228,1228,"50 Street & 112 Avenue",,  53.567313,-113.419591,,,0,
1229,1229,"83 Street & 115 Avenue",,  53.565751,-113.468386,,,0,
1230,1230,"38 Street & 121 Avenue",,  53.575052,-113.399266,,,0,
1231,1231,"82 Street & 118 Avenue",,  53.570438,-113.468047,,,0,
1232,1232,"96 Street & 111 Avenue",,  53.559248,-113.489031,,,0,
1233,1233,"101 Street & 111 Avenue",,  53.559243,-113.493595,,,0,
1235,1235,"82 Street & 118 Avenue",,  53.570333,-113.466591,,,0,
1236,1236,"70 Street & 118 Avenue",,  53.570324,-113.449290,,,0,
1237,1237,"101 Street & 117 Avenue",,  53.569217,-113.493554,,,0,
1238,1238,"55 Street & 112 Avenue",,  53.567314,-113.426660,,,0,
1239,1239,"86 Street & 114 Avenue",,  53.563974,-113.473420,,,0,
1240,1240,"124 Street & Stony Plain Road",,  53.546474,-113.536049,,,0,
1241,1241,"34 Street & 119 Avenue",,  53.571504,-113.393812,,,0,
1242,1242,"124 Street & 102 Avenue",,  53.542270,-113.536001,,,0,
1243,1243,"101 Street & 101A  Avenue",,  53.542281,-113.493893,,,0,
1244,1244,"82 Street & Jasper Avenue",,  53.557500,-113.467184,,,0,
1245,1245,"41 Street & 118 Avenue",,  53.570434,-113.405494,,,0,
1246,1246,"100 Street & 102 Avenue",,  53.543887,-113.490627,,,0,
1247,1247,"95 Street & 103A Avenue",,  53.548231,-113.480334,,,0,
1248,1248,"93 Street & Jasper Avenue",,  53.547340,-113.476650,,,0,
1249,1249,"87 Street & 115 Avenue",,  53.565734,-113.474144,,,0,
1250,1250,"97 Street & 107 Avenue",,  53.551436,-113.489340,,,0,
1251,1251,"102 Street & MacDonald Drive",,  53.539607,-113.495216,,,0,
1252,1252,"88 Street & 118 Avenue",,  53.570465,-113.475839,,,0,
1253,1253,"97 Street & 102 Avenue",,  53.544368,-113.486204,,,0,
1254,1254,"92 Street & 101A Avenue",,  53.544302,-113.471858,,,0,
1255,1255,"46 Street & 121 Avenue",,  53.575135,-113.412578,,,0,
1256,1256,"Thornton Court & Jasper Avenue",,  53.541424,-113.487316,,,0,
1257,1257,"103 Street & 122 Avenue",,  53.576803,-113.497900,,,0,
1258,1258,"95 Street & 117 Avenue",,  53.568672,-113.487340,,,0,
1259,1259,"82 Street & 120 Avenue",,  53.573287,-113.467394,,,0,
1260,1260,"61 Street & 122 Avenue",,  53.576913,-113.435445,,,0,
1261,1261,"47 Street & 118 Avenue",,  53.570419,-113.414366,,,0,
1262,1262,"100 Street & Jasper Avenue",,  53.541166,-113.491477,,,0,
1263,1263,"95 Street & 122 Avenue",,  53.576700,-113.487768,,,0,
1264,1264,"95 Street & 122 Avenue",,  53.576560,-113.486733,,,0,
1265,1265,"86 Street & 112 Avenue",,  53.561168,-113.473782,,,0,
1266,1266,"97 Street & Jasper Avenue",,  53.541938,-113.486417,,,0,
1267,1267,"40 Street & 114 Avenue",,  53.566843,-113.403420,,,0,
1268,1268,"95 Street & 111 Avenue",,  53.560593,-113.487021,,,0,
1269,1269,"124 Street & 114 Avenue",,  53.563284,-113.536033,,,0,
1270,1270,"60 Street & 112 Avenue",,  53.566525,-113.431123,,,0,
1271,1271,"105 Street & Jasper Avenue",,  53.540836,-113.499929,,,0,
1272,1272,"122 Street & 111 Avenue",,  53.558822,-113.531991,,,0,
1273,1273,"110 Street & 111 Avenue",,  53.558794,-113.509864,,,0,
1274,1274,"53 Street & 118 Avenue",,  53.570414,-113.423534,,,0,
1275,1275,"54 Street & 120 Avenue",,  53.573892,-113.424488,,,0,
1276,1276,"46 Street & 114 Avenue",,  53.566836,-113.412808,,,0,
1277,1277,"86 Street & 114 Avenue",,  53.564465,-113.473196,,,0,
1278,1278,"97 Street & 122 Avenue",,  53.576746,-113.492853,,,0,
1279,1279,"124 Street & 118 Avenue",,  53.569809,-113.536056,,,0,
1280,1280,"97 Street & 103 Avenue",,  53.545933,-113.487051,,,0,
1281,1281,"69 Street & 112 Avenue",,  53.563464,-113.444079,,,0,
1282,1282,"32 Street & 107A Avenue",,  53.561455,-113.389295,,,0,
1283,1283,"124 Street & 111 Avenue",,  53.558823,-113.535208,,,0,
1284,1284,"97 Street & 108 Avenue",,  53.553459,-113.490190,,,0,
1285,1285,"66 Street & 118 Avenue",,  53.570302,-113.442527,,,0,
1286,1286,"Fort Road & 121 Avenue",,  53.574916,-113.460220,,,0,
1287,1287,"97 Street & 118 Avenue",,  53.570482,-113.493342,,,0,
1288,1288,"95 Street & 118 Avenue",,  53.570435,-113.487781,,,0,
1289,1289,"101 Street & 116 Avenue",,  53.567097,-113.493817,,,0,
1292,1292,"100 Street & 102A Avenue",,  53.543726,-113.490924,,,0,
1293,1293,"110 Street & 100 Avenue",,  53.538536,-113.510184,,,0,
1294,1294,"Wayne Gretzky Drive S & 118 Avenue",,  53.570250,-113.453136,,,0,
1295,1295,"97 Street & 108 Avenue",,  53.554002,-113.490210,,,0,
1296,1296,"34 Street & 118 Avenue",,  53.570465,-113.394354,,,0,
1298,1298,"38 Street & 110 Avenue",,  53.562941,-113.400066,,,0,
1299,1299,"103 Street & Jasper Avenue",,  53.540653,-113.497247,,,0,
